rounded_latitude,rounded_longitude,avg_nic
35.494390,26.710319,3.538507
35.501396,26.788409,0.808373
35.492338,27.100155,1.408945
35.492689,27.196909,0
35.509174,27.603468,0
35.505731,27.692049,4.177014
35.492233,27.792482,3.56442
35.501170,28.589475,7.961387
35.499519,28.689724,8.144705
35.502655,29.111735,7.092517
35.499803,29.189956,6.387926
35.497964,29.310082,7.404766
35.491921,29.398009,9
35.508452,30.195316,8.069764
35.508037,30.298339,3.003928
35.508850,31.194913,4.010443
35.494099,31.292822,6.135029
35.505728,31.390071,6.705523
35.490485,31.496787,5.908121
35.496570,31.908521,8.04926
35.499975,43.911678,7.959534
35.491862,43.998480,8.17121
35.507584,44.193062,8.198878
35.598408,-13.089261,0
35.602215,-11.789702,8.145696
35.610164,-10.301100,2.783847
35.609778,-10.197312,3.842717
35.606021,-9.689945,3.743528
35.590791,-9.596735,6.17022
35.605002,-8.408234,3.593404
35.592765,-8.305906,8.237115
35.600291,-8.212638,6.463078
35.604314,-6.609342,6.75815
35.602112,-6.490239,7.791754
35.600907,-6.388188,7.661147
35.610016,-5.899252,7.986321
35.595211,-5.808307,7.832143
35.607733,-5.394803,8.217651
35.607844,-5.297116,8.093202
35.603302,-5.209424,7.977293
35.591662,-5.094764,7.132619
35.607850,-0.907166,3.813692
35.598717,-0.812467,7.501036
35.597035,-0.690285,7.824413
35.598676,-0.612522,8.008269
35.606652,6.690696,7.851067
35.592330,11.692845,5.664234
35.607999,14.503574,4.391236
35.609848,14.599461,5.356013
35.607831,14.693754,6.564656
35.598855,14.810119,3.898825
35.605373,14.889572,4.416057
35.593619,14.993366,4.111378
35.607773,15.806609,6.359895
35.597328,15.911642,6.391854
35.594966,15.989833,4.289744
35.602885,16.109028,5.070931
35.591870,16.200010,2.686919
35.605284,16.308010,3.378467
35.591231,16.403129,3.377864
35.604145,16.508945,6.67229
35.604640,16.589859,3.873053
35.594989,17.909469,0.094369
35.596301,17.989683,0.963967
35.604323,18.091318,0
35.608626,18.199991,3.970111
35.593159,18.305093,2.16434
35.596005,18.389444,1.287728
35.602725,18.488130,0
35.608136,22.307483,8.244099
35.595465,22.392375,7.84128
35.592514,22.497673,7.87316
35.610061,24.100250,5.261782
35.607413,24.295010,0.43637
35.592920,24.995154,0
35.592640,25.095771,1.560817
35.591904,25.593563,6.112998
35.592298,25.704410,8.557092
35.594071,26.089882,3.652552
35.591914,26.595680,1.228135
35.598884,26.711853,0.750375
35.606580,27.508229,5.257504
35.592976,27.595226,5.486932
35.608495,28.397923,6.294714
35.592122,28.504547,5.186227
35.591114,28.806440,8.024361
35.603882,28.889893,6.352131
35.591590,28.996528,7.403111
35.608575,29.095178,7.805679
35.608463,30.105439,6.544741
35.608158,30.201180,5.790108
35.597952,31.211950,6.625262
35.608400,31.300375,3.803248
35.592096,31.897200,7.218964
35.597318,43.909617,8.033432
35.592504,44.102280,0.048208
35.608120,44.204276,7.968537
35.692764,-20.995430,0.049555
