,h3,icao_address_x,icao_address_y,percent,fill_color,line_fill_color
252,840613bffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
253,840614bffffffff,38,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
254,8406163ffffffff,84,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
255,8406181ffffffff,60,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
256,8406183ffffffff,245,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
257,8406187ffffffff,83,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
258,840618bffffffff,126,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
259,8406197ffffffff,24,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
260,840619dffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
261,84061a1ffffffff,13,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
262,84061a5ffffffff,115,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
263,84061a9ffffffff,169,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
264,84061b1ffffffff,64,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
265,84061b9ffffffff,165,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
266,84061bdffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
267,84061d1ffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
268,84061d3ffffffff,114,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
269,84061d7ffffffff,115,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
270,84061e3ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
271,8406219ffffffff,67,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
272,8406245ffffffff,119,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
273,8406249ffffffff,83,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
274,8406253ffffffff,165,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
275,840626bffffffff,84,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
276,8406295ffffffff,102,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
277,8406299ffffffff,70,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
278,840629dffffffff,38,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
279,84062a1ffffffff,217,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
280,84062a7ffffffff,70,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
281,84062a9ffffffff,19,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
282,84062b9ffffffff,101,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
283,8406301ffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
284,8406309ffffffff,25,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
285,8406335ffffffff,19,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
286,8406413ffffffff,22,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
287,840641bffffffff,339,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
288,8406451ffffffff,43,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
289,8406457ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
290,840645bffffffff,191,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
291,8406483ffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
